i_TradePeriodNodeDemand,-,-
TP1,BOB1101,31.559
TP1,CPK0331,70.129
TP1,HAM0331,60.124
TP1,HIN0331,18.183
TP1,ISL0331,44.43
TP1,KAW0111,13.505
TP1,KAW0113,0
TP1,KIN0331,9.063
TP1,KPU0661,18.452
TP1,MPE1101,54.653
TP1,PEN0331,125.502
TP1,PRM0331,28.747
TP1,WGN0331,12.155
TP1,WHI0111,53.952
TP1,WHU0331,9.621
TP1,WKO0331,17.497
TP1,KAW0112_DLS0,0
TP1,KAW0113_DLS1,35.319
TP1,ABY0111,2.697
TP1,ALB0331,54.635
TP1,ALB1101,27.988
TP1,APS0111,0.169
TP1,ARG1101,0.029
TP1,ASB0331,16.68
TP1,ASB0661,22.077
TP1,ASY0111,10.163
TP1,ATU1101,0.118
TP1,BAL0331,17.023
TP1,BDE0111,7.152
TP1,BLN0331,37.905
TP1,BOB0331,4.729
TP1,BPD1101,1.281
TP1,BPE0331,37.927
TP1,BPE0551,0.27
TP1,BPT1101,0.111
TP1,BRB0331,46.823
TP1,BRK0331,13.529
TP1,BRY0661,89.935
TP1,BWK1101,0
TP1,CBG0111,16.3
TP1,CLH0111,0.33
TP1,CML0331,22.434
TP1,COL0111,0.184
TP1,COL0661,0
TP1,CPK0111,9.982
TP1,CST0331,20.88
TP1,CUL0331,4.728
TP1,CUL0661,2.853
TP1,CYD0331,1.642
TP1,CYD2201,0
TP1,DOB0331,1.062
TP1,DVK0111,6.125
TP1,EDG0331,37.515
TP1,EDN0331,4.161
TP1,FHL0331,24.626
TP1,FKN0331,45.065
TP1,GFD0331,29.208
TP1,GLN0331,94.132
TP1,GLN0332,38.55
TP1,GOR0331,17.417
TP1,GYM0661,6.462
TP1,GYT0331,6.028
TP1,HAM0111,15.794
TP1,HAM0551,0.102
TP1,HAY0111,8.115
TP1,HAY0331,7.292
TP1,HEN0331,48.819
TP1,HEP0331,62.284
TP1,HKK0661,-0.677
TP1,HLY0331,12.594
TP1,HOB1101,18.751
TP1,HOR0331,5.68
TP1,HOR0661,4.434
TP1,HTI0331,15.111
TP1,HUI0331,24.762
TP1,HWA0331,15.33
TP1,HWA0332,5.693
TP1,HWA1101,0
TP1,HWA1102,0
TP1,HWB0331,36.638
