Trading_date,,,FIR (MW),SIR (MW)
14-Jul,TP1,NI,197.788,261.951
14-Jul,TP1,SI,63.88,79.45
14-Jul,TP2,NI,194.378,245.954
14-Jul,TP2,SI,67.279,79.45
14-Jul,TP3,NI,156.773,221
14-Jul,TP3,SI,69.084,79.45
14-Jul,TP4,NI,167.696,221
14-Jul,TP4,SI,73.007,79.45
14-Jul,TP5,NI,167.173,221
14-Jul,TP5,SI,72.032,79.45
14-Jul,TP6,NI,171.749,221
14-Jul,TP6,SI,72.449,79.45
14-Jul,TP7,NI,172.734,221
14-Jul,TP7,SI,75.199,79.45
14-Jul,TP8,NI,173.676,221
14-Jul,TP8,SI,75.377,79.45
14-Jul,TP9,NI,167.277,221
14-Jul,TP9,SI,73.247,79.45
14-Jul,TP10,NI,181.09,241
14-Jul,TP10,SI,70.209,79.45
14-Jul,TP11,NI,214.651,273
14-Jul,TP11,SI,68.629,79.45
14-Jul,TP12,NI,233.03,291
14-Jul,TP12,SI,65.905,79.45
14-Jul,TP13,NI,221.157,287.441
14-Jul,TP13,SI,70.468,79.45
14-Jul,TP14,NI,209.91,304
14-Jul,TP14,SI,56.342,79.45
14-Jul,TP15,NI,217.703,305
14-Jul,TP15,SI,54.491,79.45
14-Jul,TP16,NI,213.859,306
14-Jul,TP16,SI,41.893,79.45
14-Jul,TP17,NI,224.999,316
14-Jul,TP17,SI,66.228,79.45
14-Jul,TP18,NI,224.775,316
14-Jul,TP18,SI,57.697,79.45
14-Jul,TP19,NI,215.507,306
14-Jul,TP19,SI,57.431,79.45
14-Jul,TP20,NI,185.831,306
14-Jul,TP20,SI,66.182,79.45
14-Jul,TP21,NI,210.348,329
14-Jul,TP21,SI,69.209,79.45
14-Jul,TP22,NI,233.32,329
14-Jul,TP22,SI,47.309,79.45
14-Jul,TP23,NI,189.572,318
14-Jul,TP23,SI,71.256,79.45
14-Jul,TP24,NI,209.924,328
14-Jul,TP24,SI,61.981,79.45
14-Jul,TP25,NI,221.254,328
14-Jul,TP25,SI,71.235,79.45
14-Jul,TP26,NI,223.41,328
14-Jul,TP26,SI,74.81,79.45
14-Jul,TP27,NI,210.16,327
14-Jul,TP27,SI,71.642,79.45
14-Jul,TP28,NI,193.625,291
14-Jul,TP28,SI,74.112,79.45
14-Jul,TP29,NI,185.588,306
14-Jul,TP29,SI,82.175,79.45
14-Jul,TP30,NI,189.403,306
14-Jul,TP30,SI,81.097,79.45
14-Jul,TP31,NI,203.634,306
14-Jul,TP31,SI,82.578,79.45
14-Jul,TP32,NI,194.425,306
14-Jul,TP32,SI,82.868,79.45
14-Jul,TP33,NI,189.193,306
14-Jul,TP33,SI,78.652,79.45
14-Jul,TP34,NI,196.114,306
14-Jul,TP34,SI,68.276,79.45
14-Jul,TP35,NI,172.792,307
14-Jul,TP35,SI,57.991,79.45
14-Jul,TP36,NI,174.375,316
14-Jul,TP36,SI,61.163,65
14-Jul,TP37,NI,172.367,301
14-Jul,TP37,SI,62.922,65
14-Jul,TP38,NI,155.365,301
14-Jul,TP38,SI,62.638,65
14-Jul,TP39,NI,156.238,301
14-Jul,TP39,SI,64.806,79.45
14-Jul,TP40,NI,177.248,310
14-Jul,TP40,SI,57.48,79.45
14-Jul,TP41,NI,166.999,310
14-Jul,TP41,SI,61.708,79.45
14-Jul,TP42,NI,180.772,311
14-Jul,TP42,SI,64.985,79.45
14-Jul,TP43,NI,194.803,313.82
14-Jul,TP43,SI,73.359,79.45
14-Jul,TP44,NI,195.181,312
14-Jul,TP44,SI,77.187,79.45
14-Jul,TP45,NI,170.992,266
14-Jul,TP45,SI,42.612,79.45
14-Jul,TP46,NI,146.57,266
14-Jul,TP46,SI,51.691,79.45
14-Jul,TP47,NI,183.147,276.541
14-Jul,TP47,SI,57.507,79.45
14-Jul,TP48,NI,168.85,251
14-Jul,TP48,SI,60.834,79.45
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
