Trading_date,,Island,FIR (MW),SIR (MW)
26/07/2016,TP1,NI,63.15,151
26/07/2016,TP1,SI,58.973,79.45
26/07/2016,TP2,NI,45.153,133
26/07/2016,TP2,SI,62.121,79.45
26/07/2016,TP3,NI,42.885,133
26/07/2016,TP3,SI,62.218,79.45
26/07/2016,TP4,NI,57.185,133
26/07/2016,TP4,SI,68.538,79.45
26/07/2016,TP5,NI,54.084,133
26/07/2016,TP5,SI,80.915,65
26/07/2016,TP6,NI,59.209,133
26/07/2016,TP6,SI,67.245,79.45
26/07/2016,TP7,NI,53.131,133
26/07/2016,TP7,SI,77.465,79.45
26/07/2016,TP8,NI,52.298,133
26/07/2016,TP8,SI,69.719,79.45
26/07/2016,TP9,NI,51.383,133
26/07/2016,TP9,SI,67.184,79.45
26/07/2016,TP10,NI,62.041,139.648
26/07/2016,TP10,SI,63.558,79.45
26/07/2016,TP11,NI,81.537,175.608
26/07/2016,TP11,SI,59.953,79.45
26/07/2016,TP12,NI,183.664,251
26/07/2016,TP12,SI,53.265,79.45
26/07/2016,TP13,NI,204.194,291
26/07/2016,TP13,SI,40.357,79.45
26/07/2016,TP14,NI,223.631,331
26/07/2016,TP14,SI,28.125,79.45
26/07/2016,TP15,NI,212.882,359.325
26/07/2016,TP15,SI,7.991,79.45
26/07/2016,TP16,NI,237.335,334.186
26/07/2016,TP16,SI,10.645,79.45
26/07/2016,TP17,NI,220.717,317.79
26/07/2016,TP17,SI,6.755,79.45
26/07/2016,TP18,NI,223.917,320.328
26/07/2016,TP18,SI,9.748,79.45
26/07/2016,TP19,NI,224.776,328.541
26/07/2016,TP19,SI,8.226,79.45
26/07/2016,TP20,NI,215.559,308.565
26/07/2016,TP20,SI,14.231,79.45
26/07/2016,TP21,NI,184.988,328
26/07/2016,TP21,SI,13.651,79.45
26/07/2016,TP22,NI,195.818,341.69
26/07/2016,TP22,SI,17.71,79.45
26/07/2016,TP23,NI,194.06,340.974
26/07/2016,TP23,SI,20.11,79.45
26/07/2016,TP24,NI,174.525,325
26/07/2016,TP24,SI,24.18,79.45
26/07/2016,TP25,NI,193.606,325
26/07/2016,TP25,SI,25.111,79.45
26/07/2016,TP26,NI,209.872,343.336
26/07/2016,TP26,SI,27.404,79.45
26/07/2016,TP27,NI,249.981,357.863
26/07/2016,TP27,SI,29.755,79.45
26/07/2016,TP28,NI,288.721,400.015
26/07/2016,TP28,SI,32.519,79.45
26/07/2016,TP29,NI,300.229,416.718
26/07/2016,TP29,SI,32.787,79.45
26/07/2016,TP30,NI,325.068,409.346
26/07/2016,TP30,SI,33.556,79.45
26/07/2016,TP31,NI,283.6,383.31
26/07/2016,TP31,SI,33.081,79.45
26/07/2016,TP32,NI,270.761,393.88
26/07/2016,TP32,SI,32.823,79.45
26/07/2016,TP33,NI,261.812,395.168
26/07/2016,TP33,SI,29.614,79.45
26/07/2016,TP34,NI,322.753,459.737
26/07/2016,TP34,SI,23.557,79.45
26/07/2016,TP35,NI,242.141,375.78
26/07/2016,TP35,SI,16.594,79.45
26/07/2016,TP36,NI,156.812,291
26/07/2016,TP36,SI,16.192,79.45
26/07/2016,TP37,NI,160.415,306
26/07/2016,TP37,SI,14.921,79.45
26/07/2016,TP38,NI,182.482,298.261
26/07/2016,TP38,SI,13.661,79.45
26/07/2016,TP39,NI,173.576,300.076
26/07/2016,TP39,SI,14.106,79.45
26/07/2016,TP40,NI,165.163,295.934
26/07/2016,TP40,SI,13.407,79.45
26/07/2016,TP41,NI,212.615,335
26/07/2016,TP41,SI,15.395,79.45
26/07/2016,TP42,NI,224.198,336
26/07/2016,TP42,SI,20.623,79.45
26/07/2016,TP43,NI,187.943,336
26/07/2016,TP43,SI,24.759,79.45
26/07/2016,TP44,NI,156.518,291
26/07/2016,TP44,SI,30.003,79.45
26/07/2016,TP45,NI,190.467,320.057
26/07/2016,TP45,SI,34.882,79.45
26/07/2016,TP46,NI,219.06,306
26/07/2016,TP46,SI,44.318,79.45
26/07/2016,TP47,NI,230.205,306
26/07/2016,TP47,SI,51.269,79.45
26/07/2016,TP48,NI,100.512,201
26/07/2016,TP48,SI,53.199,79.45
