Trading_date,Trading_period,Island,FIR (MW),SIR (MW)
28/07/2016,1,NI,44.51,161.644
28/07/2016,1,SI,62.762,79.45
28/07/2016,2,NI,39.847,133
28/07/2016,2,SI,62.96,79.45
28/07/2016,3,NI,32.497,133
28/07/2016,3,SI,63.638,79.45
28/07/2016,4,NI,33.3,157.342
28/07/2016,4,SI,99.058,65
28/07/2016,5,NI,56.081,138.278
28/07/2016,5,SI,126.653,65
28/07/2016,6,NI,57.32,133
28/07/2016,6,SI,112.197,79.45
28/07/2016,7,NI,31.109,133
28/07/2016,7,SI,127.043,65
28/07/2016,8,NI,38.468,133
28/07/2016,8,SI,128.084,65
28/07/2016,9,NI,46.684,174.548
28/07/2016,9,SI,110.889,70.482
28/07/2016,10,NI,28.137,133
28/07/2016,10,SI,111.981,68.446
28/07/2016,11,NI,74.556,171
28/07/2016,11,SI,62.123,79.45
28/07/2016,12,NI,136.395,251
28/07/2016,12,SI,58.679,79.45
28/07/2016,13,NI,249.998,326.725
28/07/2016,13,SI,45.987,79.45
28/07/2016,14,NI,245.245,330
28/07/2016,14,SI,35.092,79.45
28/07/2016,15,NI,206.44,330
28/07/2016,15,SI,16.41,79.45
28/07/2016,16,NI,195.533,330
28/07/2016,16,SI,15.467,79.45
28/07/2016,17,NI,192.244,330
28/07/2016,17,SI,14.701,79.45
28/07/2016,18,NI,188.035,330
28/07/2016,18,SI,14.123,79.45
28/07/2016,19,NI,201.471,330
28/07/2016,19,SI,15.683,79.45
28/07/2016,20,NI,209.696,329
28/07/2016,20,SI,17.209,79.45
28/07/2016,21,NI,197.871,328
28/07/2016,21,SI,18.778,79.45
28/07/2016,22,NI,198.507,330.752
28/07/2016,22,SI,20.417,79.45
28/07/2016,23,NI,268.463,391.146
28/07/2016,23,SI,23.048,79.45
28/07/2016,24,NI,257.706,396.905
28/07/2016,24,SI,24.976,79.45
28/07/2016,25,NI,280.636,401.757
28/07/2016,25,SI,26.502,79.45
28/07/2016,26,NI,222.455,351.784
28/07/2016,26,SI,26.303,79.45
28/07/2016,27,NI,215.224,315
28/07/2016,27,SI,30.547,79.45
28/07/2016,28,NI,206.236,311
28/07/2016,28,SI,35.73,79.45
28/07/2016,29,NI,203.238,301
28/07/2016,29,SI,35.677,79.45
28/07/2016,30,NI,188.893,291
28/07/2016,30,SI,38.354,79.45
28/07/2016,31,NI,185.716,291
28/07/2016,31,SI,37.835,79.45
28/07/2016,32,NI,195.428,301
28/07/2016,32,SI,35.307,79.45
28/07/2016,33,NI,208.969,311
28/07/2016,33,SI,32.08,79.45
28/07/2016,34,NI,220.883,324
28/07/2016,34,SI,25.403,79.45
28/07/2016,35,NI,199.815,325
28/07/2016,35,SI,18.248,79.45
28/07/2016,36,NI,202.311,325
28/07/2016,36,SI,11.94,79.45
28/07/2016,37,NI,147.206,309.768
28/07/2016,37,SI,13.595,79.45
28/07/2016,38,NI,170.866,325
28/07/2016,38,SI,7.498,79.45
28/07/2016,39,NI,134.232,291
28/07/2016,39,SI,13.915,79.45
28/07/2016,40,NI,174.308,326
28/07/2016,40,SI,14.957,79.45
28/07/2016,41,NI,171.029,326
28/07/2016,41,SI,18.07,79.45
28/07/2016,42,NI,181.852,310.766
28/07/2016,42,SI,19.51,79.45
28/07/2016,43,NI,184.114,291
28/07/2016,43,SI,25.514,79.45
28/07/2016,44,NI,171.997,291
28/07/2016,44,SI,33.363,79.45
28/07/2016,45,NI,202.622,305.203
28/07/2016,45,SI,39.625,79.45
28/07/2016,46,NI,195.049,291
28/07/2016,46,SI,48.225,79.45
28/07/2016,47,NI,198.536,291
28/07/2016,47,SI,51.19,79.45
28/07/2016,48,NI,158.988,211
28/07/2016,48,SI,55.599,79.45
