-,,,fir,
2/08/2016,TP1,NI,93.887,216.492
2/08/2016,TP1,SI,54.671,79.45
2/08/2016,TP2,NI,122.78,216
2/08/2016,TP2,SI,60.888,79.45
2/08/2016,TP3,NI,124.45,216
2/08/2016,TP3,SI,59.471,79.45
2/08/2016,TP4,NI,118.057,211
2/08/2016,TP4,SI,67.303,79.45
2/08/2016,TP5,NI,113.606,206
2/08/2016,TP5,SI,62.674,79.45
2/08/2016,TP6,NI,94.711,181
2/08/2016,TP6,SI,68.237,79.45
2/08/2016,TP7,NI,83.468,171
2/08/2016,TP7,SI,66.802,79.45
2/08/2016,TP8,NI,92.497,181
2/08/2016,TP8,SI,101.282,65
2/08/2016,TP9,NI,87.027,181
2/08/2016,TP9,SI,104.806,65
2/08/2016,TP10,NI,98.574,196
2/08/2016,TP10,SI,92.644,65
2/08/2016,TP11,NI,105.688,211
2/08/2016,TP11,SI,61.254,79.45
2/08/2016,TP12,NI,156.996,270.384
2/08/2016,TP12,SI,51.716,79.45
2/08/2016,TP13,NI,161.427,291
2/08/2016,TP13,SI,37.88,79.45
2/08/2016,TP14,NI,171.548,317.828
2/08/2016,TP14,SI,26.9,79.45
2/08/2016,TP15,NI,204.869,331
2/08/2016,TP15,SI,15.033,79.45
2/08/2016,TP16,NI,202.675,330.364
2/08/2016,TP16,SI,6.649,79.45
2/08/2016,TP17,NI,162.524,277.076
2/08/2016,TP17,SI,4.057,79.45
2/08/2016,TP18,NI,171.92,290.404
2/08/2016,TP18,SI,7.818,79.45
2/08/2016,TP19,NI,161.179,291
2/08/2016,TP19,SI,10.266,79.45
2/08/2016,TP20,NI,169.349,291
2/08/2016,TP20,SI,11.15,79.45
2/08/2016,TP21,NI,153.272,291
2/08/2016,TP21,SI,14.464,79.45
2/08/2016,TP22,NI,165.333,291
2/08/2016,TP22,SI,15.876,79.45
2/08/2016,TP23,NI,160.904,291
2/08/2016,TP23,SI,17.644,79.45
2/08/2016,TP24,NI,146.757,312.854
2/08/2016,TP24,SI,22.345,79.45
2/08/2016,TP25,NI,175.841,291
2/08/2016,TP25,SI,24.608,79.45
2/08/2016,TP26,NI,153.819,328.292
2/08/2016,TP26,SI,25.688,79.45
2/08/2016,TP27,NI,118.74,293.866
2/08/2016,TP27,SI,25.574,79.45
2/08/2016,TP28,NI,105.751,284.023
2/08/2016,TP28,SI,31.38,79.45
2/08/2016,TP29,NI,130.873,275.188
2/08/2016,TP29,SI,32.311,79.45
2/08/2016,TP30,NI,113.972,251
2/08/2016,TP30,SI,35.821,79.45
2/08/2016,TP31,NI,126.069,251
2/08/2016,TP31,SI,35.859,79.45
2/08/2016,TP32,NI,117.822,251
2/08/2016,TP32,SI,30.305,79.45
2/08/2016,TP33,NI,129.66,251
2/08/2016,TP33,SI,26.337,79.45
2/08/2016,TP34,NI,135.613,251
2/08/2016,TP34,SI,20.898,79.45
2/08/2016,TP35,NI,144.321,251
2/08/2016,TP35,SI,16.663,79.45
2/08/2016,TP36,NI,119.458,281.662
2/08/2016,TP36,SI,12.258,79.45
2/08/2016,TP37,NI,150.543,296.428
2/08/2016,TP37,SI,10.125,79.45
2/08/2016,TP38,NI,148.092,309.857
2/08/2016,TP38,SI,9.623,79.45
2/08/2016,TP39,NI,131.522,259.963
2/08/2016,TP39,SI,11.89,79.45
2/08/2016,TP40,NI,157.721,291
2/08/2016,TP40,SI,15.148,79.45
2/08/2016,TP41,NI,152.144,291
2/08/2016,TP41,SI,14.522,79.45
2/08/2016,TP42,NI,167.155,291
2/08/2016,TP42,SI,16.758,79.45
2/08/2016,TP43,NI,164.977,291
2/08/2016,TP43,SI,21.526,79.45
2/08/2016,TP44,NI,174.922,291
2/08/2016,TP44,SI,26.231,79.45
2/08/2016,TP45,NI,117.997,254.664
2/08/2016,TP45,SI,36.264,79.45
2/08/2016,TP46,NI,107.544,251
2/08/2016,TP46,SI,42.773,79.45
2/08/2016,TP47,NI,183.136,251
2/08/2016,TP47,SI,48.037,79.45
2/08/2016,TP48,NI,90.211,201
2/08/2016,TP48,SI,54.463,79.45
