,,,fir,
3/08/2016,TP1,NI,103.357,201
3/08/2016,TP1,SI,56.218,79.45
3/08/2016,TP2,NI,43.306,151
3/08/2016,TP2,SI,59.335,79.45
3/08/2016,TP3,NI,76.66,187.869
3/08/2016,TP3,SI,62.596,79.45
3/08/2016,TP4,NI,34.218,148.605
3/08/2016,TP4,SI,66.057,79.45
3/08/2016,TP5,NI,39.857,133
3/08/2016,TP5,SI,66.716,79.45
3/08/2016,TP6,NI,42.824,133
3/08/2016,TP6,SI,68.389,79.45
3/08/2016,TP7,NI,42.312,133
3/08/2016,TP7,SI,66.666,79.45
3/08/2016,TP8,NI,43.994,133
3/08/2016,TP8,SI,68.51,79.45
3/08/2016,TP9,NI,45.686,133
3/08/2016,TP9,SI,67.533,79.45
3/08/2016,TP10,NI,51.61,133
3/08/2016,TP10,SI,67.413,79.45
3/08/2016,TP11,NI,27.399,133
3/08/2016,TP11,SI,63.458,79.45
3/08/2016,TP12,NI,65.382,171
3/08/2016,TP12,SI,57.528,79.45
3/08/2016,TP13,NI,162.017,251
3/08/2016,TP13,SI,42.623,79.45
3/08/2016,TP14,NI,113.322,251
3/08/2016,TP14,SI,32.139,79.45
3/08/2016,TP15,NI,166.157,267.648
3/08/2016,TP15,SI,15.28,79.45
3/08/2016,TP16,NI,179.76,291
3/08/2016,TP16,SI,12.932,79.45
3/08/2016,TP17,NI,154.289,291
3/08/2016,TP17,SI,12.776,79.45
3/08/2016,TP18,NI,172.181,291
3/08/2016,TP18,SI,14.91,79.45
3/08/2016,TP19,NI,169.931,291
3/08/2016,TP19,SI,17.221,79.45
3/08/2016,TP20,NI,163.713,272.816
3/08/2016,TP20,SI,17.494,79.45
3/08/2016,TP21,NI,148.149,291
3/08/2016,TP21,SI,18.164,79.45
3/08/2016,TP22,NI,164.869,291
3/08/2016,TP22,SI,21.37,79.45
3/08/2016,TP23,NI,143.162,285.227
3/08/2016,TP23,SI,22.91,79.45
3/08/2016,TP24,NI,148.087,291
3/08/2016,TP24,SI,28.666,79.45
3/08/2016,TP25,NI,135.661,290.11
3/08/2016,TP25,SI,30.542,79.45
3/08/2016,TP26,NI,150.79,301
3/08/2016,TP26,SI,32.508,79.45
3/08/2016,TP27,NI,160.831,301
3/08/2016,TP27,SI,33.007,79.45
3/08/2016,TP28,NI,157.254,301
3/08/2016,TP28,SI,35.061,79.45
3/08/2016,TP29,NI,160.758,301
3/08/2016,TP29,SI,36.816,79.45
3/08/2016,TP30,NI,189.261,291
3/08/2016,TP30,SI,36.082,79.45
3/08/2016,TP31,NI,149.459,291
3/08/2016,TP31,SI,34.103,79.45
3/08/2016,TP32,NI,212.241,322
3/08/2016,TP32,SI,31.723,79.45
3/08/2016,TP33,NI,207.472,317.853
3/08/2016,TP33,SI,26.513,79.45
3/08/2016,TP34,NI,150.583,291
3/08/2016,TP34,SI,22.038,79.45
3/08/2016,TP35,NI,184.616,324
3/08/2016,TP35,SI,18.149,79.45
3/08/2016,TP36,NI,166.737,324
3/08/2016,TP36,SI,17.092,79.45
3/08/2016,TP37,NI,119.248,281.824
3/08/2016,TP37,SI,13.813,79.45
3/08/2016,TP38,NI,135.896,295.131
3/08/2016,TP38,SI,16.923,79.45
3/08/2016,TP39,NI,141.104,314.18
3/08/2016,TP39,SI,16.296,79.45
3/08/2016,TP40,NI,93.785,255.062
3/08/2016,TP40,SI,16.021,79.45
3/08/2016,TP41,NI,158.293,314.896
3/08/2016,TP41,SI,17.459,79.45
3/08/2016,TP42,NI,147.497,262.729
3/08/2016,TP42,SI,20.292,79.45
3/08/2016,TP43,NI,117.03,257.04
3/08/2016,TP43,SI,23.484,79.45
3/08/2016,TP44,NI,162.188,291
3/08/2016,TP44,SI,31.474,79.45
3/08/2016,TP45,NI,109.684,228.255
3/08/2016,TP45,SI,38.018,79.45
3/08/2016,TP46,NI,78.2,201
3/08/2016,TP46,SI,45.951,79.45
3/08/2016,TP47,NI,51.081,151
3/08/2016,TP47,SI,50.246,79.45
3/08/2016,TP48,NI,55.215,161
3/08/2016,TP48,SI,96.591,79.45
