i_TradePeriodSustainedILROffer,-,-,-,-,
-,-,-,-,-,
TP1,BOB1101,t1,i_ILROfferMax,3.194, 
TP1,BOB1101,t1,i_ILROfferPrice,0, 
TP1,CPK0331,t1,i_ILROfferMax,2.749, 
TP1,CPK0331,t1,i_ILROfferPrice,0.01, 
TP1,CPK0331,t2,i_ILROfferMax,1.6, 
TP1,CPK0331,t2,i_ILROfferPrice,5.15, 
TP1,CPK0331,t3,i_ILROfferMax,1.1, 
TP1,CPK0331,t3,i_ILROfferPrice,10.29, 
TP1,HAM0331,t1,i_ILROfferMax,4.957, 
TP1,HAM0331,t1,i_ILROfferPrice,0.01, 
TP1,HIN0331,t1,i_ILROfferMax,0.8, 
TP1,HIN0331,t1,i_ILROfferPrice,0, 
TP1,ISL0331,t1,i_ILROfferMax,0, 
TP1,ISL0331,t1,i_ILROfferPrice,0, 
TP1,KAW0111,t1,i_ILROfferMax,3.59, 
TP1,KAW0111,t1,i_ILROfferPrice,600, 
TP1,KAW0111,t2,i_ILROfferMax,1.79, 
TP1,KAW0111,t2,i_ILROfferPrice,601, 
TP1,KAW0111,t3,i_ILROfferMax,0.62, 
TP1,KAW0111,t3,i_ILROfferPrice,602, 
TP1,KAW0113,t1,i_ILROfferMax,29, 
TP1,KAW0113,t1,i_ILROfferPrice,0, 
TP1,KIN0331,t1,i_ILROfferMax,0.6, 
TP1,KIN0331,t1,i_ILROfferPrice,0, 
TP1,KPU0661,t1,i_ILROfferMax,0.4, 
TP1,KPU0661,t1,i_ILROfferPrice,0, 
TP1,MPE1101,t1,i_ILROfferMax,3.5, 
TP1,MPE1101,t1,i_ILROfferPrice,0, 
TP1,PEN0331,t1,i_ILROfferMax,9.35, 
TP1,PEN0331,t1,i_ILROfferPrice,0.01, 
TP1,PEN0331,t2,i_ILROfferMax,4.7, 
TP1,PEN0331,t2,i_ILROfferPrice,0.45, 
TP1,PEN0331,t3,i_ILROfferMax,4.7, 
TP1,PEN0331,t3,i_ILROfferPrice,2.95, 
TP1,PRM0331,t1,i_ILROfferMax,55, 
TP1,PRM0331,t1,i_ILROfferPrice,0, 
TP1,PRM0331,t2,i_ILROfferMax,58.527, 
TP1,PRM0331,t2,i_ILROfferPrice,0.02, 
TP1,WGN0331,t1,i_ILROfferMax,0, 
TP1,WGN0331,t1,i_ILROfferPrice,0.1, 
TP1,WHI0111,t1,i_ILROfferMax,30, 
TP1,WHI0111,t1,i_ILROfferPrice,0, 
TP1,WHU0331,t1,i_ILROfferMax,0.4, 
TP1,WHU0331,t1,i_ILROfferPrice,0, 
TP1,WKO0331,t1,i_ILROfferMax,0.7, 
TP1,WKO0331,t1,i_ILROfferPrice,0, 
TP2,BOB1101,t1,i_ILROfferMax,2.773, 
