Trading_date,,,FIR (MW),SIR (MW)
12-Jul,TP1,NI,239.498,317
12-Jul,TP1,SI,60.153,79.45
12-Jul,TP2,NI,248.959,318
12-Jul,TP2,SI,61.979,79.45
12-Jul,TP3,NI,225.487,299.036
12-Jul,TP3,SI,61.754,79.45
12-Jul,TP4,NI,237.937,305.11
12-Jul,TP4,SI,65.293,79.45
12-Jul,TP5,NI,242.304,324
12-Jul,TP5,SI,68.457,79.45
12-Jul,TP6,NI,271.232,312.337
12-Jul,TP6,SI,66.086,79.45
12-Jul,TP7,NI,253.725,284.351
12-Jul,TP7,SI,67.108,79.45
12-Jul,TP8,NI,259.595,320
12-Jul,TP8,SI,68.515,79.45
12-Jul,TP9,NI,256.353,319
12-Jul,TP9,SI,65.986,79.45
12-Jul,TP10,NI,253.492,319
12-Jul,TP10,SI,67.182,79.45
12-Jul,TP11,NI,250.545,319
12-Jul,TP11,SI,60.898,79.45
12-Jul,TP12,NI,212.046,319
12-Jul,TP12,SI,60.421,79.45
12-Jul,TP13,NI,220.43,318
12-Jul,TP13,SI,48.466,79.45
12-Jul,TP14,NI,224.122,336
12-Jul,TP14,SI,41.575,79.45
12-Jul,TP15,NI,191.49,336
12-Jul,TP15,SI,16.303,79.45
12-Jul,TP16,NI,182.341,318
12-Jul,TP16,SI,13.691,79.45
12-Jul,TP17,NI,202.39,318
12-Jul,TP17,SI,13.455,79.45
12-Jul,TP18,NI,205.958,320
12-Jul,TP18,SI,13.782,79.45
12-Jul,TP19,NI,200.749,322
12-Jul,TP19,SI,14.615,79.45
12-Jul,TP20,NI,204.175,328.788
12-Jul,TP20,SI,15.678,79.45
12-Jul,TP21,NI,186.682,327.644
12-Jul,TP21,SI,17.114,79.45
12-Jul,TP22,NI,208.211,336
12-Jul,TP22,SI,20.572,79.45
12-Jul,TP23,NI,188.102,318
12-Jul,TP23,SI,37.569,79.45
12-Jul,TP24,NI,195.554,317
12-Jul,TP24,SI,40.839,79.45
12-Jul,TP25,NI,193.316,316
12-Jul,TP25,SI,42.828,79.45
12-Jul,TP26,NI,206.84,316
12-Jul,TP26,SI,46.113,79.45
12-Jul,TP27,NI,192.806,315
12-Jul,TP27,SI,46.479,79.45
12-Jul,TP28,NI,239.195,315
12-Jul,TP28,SI,50.72,79.45
12-Jul,TP29,NI,232.288,314
12-Jul,TP29,SI,52.776,79.45
12-Jul,TP30,NI,214.925,314
12-Jul,TP30,SI,52.375,79.45
12-Jul,TP31,NI,222.645,314
12-Jul,TP31,SI,53.211,79.45
12-Jul,TP32,NI,237.754,312
12-Jul,TP32,SI,50.816,79.45
12-Jul,TP33,NI,222.146,310
12-Jul,TP33,SI,45.45,79.45
12-Jul,TP34,NI,206.599,313
12-Jul,TP34,SI,35.38,79.45
12-Jul,TP35,NI,208.955,316
12-Jul,TP35,SI,15.749,79.45
12-Jul,TP36,NI,222.09,329.656
12-Jul,TP36,SI,13.691,79.45
12-Jul,TP37,NI,185.687,319
12-Jul,TP37,SI,13.667,79.45
12-Jul,TP38,NI,199.62,302.746
12-Jul,TP38,SI,13.848,79.45
12-Jul,TP39,NI,236.834,317.912
12-Jul,TP39,SI,14.668,79.45
12-Jul,TP40,NI,215.955,307.991
12-Jul,TP40,SI,15.219,79.45
12-Jul,TP41,NI,198.792,320
12-Jul,TP41,SI,15.401,79.45
12-Jul,TP42,NI,197.158,318
12-Jul,TP42,SI,20.622,79.45
12-Jul,TP43,NI,224.668,326.977
12-Jul,TP43,SI,32.599,79.45
12-Jul,TP44,NI,221.713,336
12-Jul,TP44,SI,43.004,79.45
12-Jul,TP45,NI,238.229,336
12-Jul,TP45,SI,35.264,79.45
12-Jul,TP46,NI,228.575,324.983
12-Jul,TP46,SI,45.551,79.45
12-Jul,TP47,NI,233.288,319.52
12-Jul,TP47,SI,52.519,79.45
12-Jul,TP48,NI,241.587,312.387
12-Jul,TP48,SI,56.901,79.45
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
